Id, Start Time, End Time, Category, Sub Category, Notes, Uses Timer
216,08:10:49 08-23-2016,08:35:12 08-23-2016,Activity,Play,Dance party,1
217,09:51:39 08-23-2016,09:53:10 08-23-2016,Activity,Tummy Time,,1
218,14:28:16 08-24-2016,14:33:18 08-24-2016,Activity,Tummy Time,,1
219,19:58:22 08-24-2016,20:10:18 08-24-2016,Hygiene,Bath,,1
220,09:10:42 08-25-2016,09:12:16 08-25-2016,Activity,Tummy Time,,1
221,19:55:42 08-27-2016,20:10:44 08-27-2016,Hygiene,Bath,,1
222,09:25:10 08-28-2016,09:31:11 08-28-2016,Activity,Tummy Time,,1
223,15:51:43 08-29-2016,15:55:08 08-29-2016,Activity,Tummy Time,,1
224,15:01:37 08-30-2016,15:07:59 08-30-2016,Activity,Tummy Time,,1
225,20:02:20 08-30-2016,20:15:01 08-30-2016,Hygiene,Bath,,1
226,18:29:20 09-01-2016,18:31:57 09-01-2016,Activity,Tummy Time,,1
227,08:52:55 09-02-2016,08:53:57 09-02-2016,Activity,Tummy Time,,1
228,09:46:36 09-02-2016,09:49:22 09-02-2016,Activity,Tummy Time,,1
229,11:25:14 09-05-2016,11:33:15 09-05-2016,Hygiene,Bath,,1
230,07:45:00 09-09-2016,07:45:00 09-09-2016,Hygiene,Bath,,0
231,06:20:19 09-11-2016,06:29:44 09-11-2016,Hygiene,Bath,,1
232,06:30:03 09-11-2016,10:15:03 09-11-2016,Health,Other,Something caught in left eye. Flushed out with water.,1
241,07:45:00 09-11-2016,07:45:00 09-11-2016,Health,Other,Eczema bad on legs  spread to stomach,0
233,12:24:50 09-11-2016,12:24:50 09-11-2016,Health,Diarrhea,Big poop.,0
234,07:38:35 09-14-2016,07:48:35 09-14-2016,Hygiene,Bath,,1
235,12:01:33 09-18-2016,12:03:43 09-18-2016,Activity,Tummy Time,,1
236,15:11:39 09-18-2016,15:11:39 09-18-2016,Hygiene,Clip Nails,Right hand,0
237,17:48:58 09-18-2016,17:48:58 09-18-2016,Hygiene,Clip Nails,Left hand,0
238,19:43:55 09-18-2016,19:53:55 09-18-2016,Hygiene,Bath,Oatmeal,1
239,07:12:09 09-19-2016,07:12:42 09-19-2016,Activity,Tummy Time,,1
240,09:22:45 09-20-2016,09:24:35 09-20-2016,Activity,Tummy Time,,1
242,16:28:23 09-21-2016,16:33:25 09-21-2016,Activity,Tummy Time,,1
243,19:59:29 09-21-2016,20:13:54 09-21-2016,Hygiene,Bath,,1
244,17:42:08 09-22-2016,17:44:20 09-22-2016,Activity,Tummy Time,,1
245,20:19:51 09-25-2016,20:30:06 09-25-2016,Hygiene,Bath,,1
246,08:20:54 09-26-2016,08:20:54 09-26-2016,Health,Other,eczema on skin is much improved,0
247,20:00:22 09-28-2016,20:08:42 09-28-2016,Hygiene,Bath,,1
248,07:43:31 09-30-2016,07:43:31 09-30-2016,Hygiene,Clip Nails,,0
249,17:56:41 09-30-2016,17:56:41 09-30-2016,Health,Cold,,0
100,12:12:29 10-02-2016,12:12:29 10-02-2016,Health,Cold,Still congested but not that bad,0
101,19:52:04 10-02-2016,20:03:52 10-02-2016,Hygiene,Bath,,1
103,05:08:50 10-03-2016,05:08:50 10-03-2016,Health,Cold,Congested,0
104,18:36:28 10-04-2016,18:40:24 10-04-2016,Hygiene,Clip Nails,Right hand nail file,1
105,20:04:42 10-05-2016,20:13:44 10-05-2016,Hygiene,Bath,,1
106,23:45:10 10-05-2016,23:45:10 10-05-2016,Health,Cold,Mild congestion,0
107,06:44:47 10-08-2016,06:44:47 10-08-2016,Health,Cold,More congested than yesterday,0
108,06:45:38 10-08-2016,06:54:42 10-08-2016,Activity,Tummy Time,,1
109,08:26:25 10-09-2016,08:31:25 10-09-2016,Activity,Tummy Time,,1
110,08:57:46 10-10-2016,09:02:47 10-10-2016,Activity,Tummy Time,,1
111,11:21:28 10-10-2016,11:35:52 10-10-2016,Activity,Sitting,Bumbo,1
112,19:41:55 10-10-2016,19:52:00 10-10-2016,Hygiene,Bath,,1
113,08:10:25 10-11-2016,08:18:18 10-11-2016,Activity,Tummy Time,,1
114,19:50:59 10-12-2016,20:02:55 10-12-2016,Hygiene,Bath,,1
115,08:30:18 10-14-2016,08:36:18 10-14-2016,Activity,Tummy Time,,1
116,12:43:07 10-14-2016,12:43:58 10-14-2016,Activity,Tummy Time,,1
117,19:20:45 10-16-2016,19:30:48 10-16-2016,Hygiene,Bath,,1
118,19:02:46 10-19-2016,19:14:23 10-19-2016,Hygiene,Bath,,1
119,20:40:22 10-21-2016,21:00:07 10-21-2016,Mood,Crying,Really upset,1
120,19:02:44 10-23-2016,19:14:12 10-23-2016,Hygiene,Bath,,1
121,07:58:30 10-25-2016,07:58:30 10-25-2016,Mood,Sleepy,In crib with soother. Had trouble falling asleep because of hiccups.,0
122,21:36:29 10-25-2016,21:36:29 10-25-2016,Mood,Sleepy,Turned off swing,0
123,23:32:55 10-25-2016,23:32:55 10-25-2016,Mood,Crying,Woke up. Dad tried soothing her back to sleep with soother and manual swing rocking. But she just got more agitated. Tried automatic swing and she eventually fell asleep with swing rocking vigorously.,0
124,19:16:38 10-26-2016,19:27:49 10-26-2016,Hygiene,Bath,,1
125,09:51:09 10-29-2016,10:03:41 10-29-2016,Activity,Play,Jolly Jumper,1
126,10:10:32 10-29-2016,10:25:32 10-29-2016,Mood,Sleepy,Put her in the crib when she was staring to zone out. She fought sleep for 15 minutes before I moved her to the swing.,1
127,18:53:05 10-30-2016,19:01:00 10-30-2016,Hygiene,Bath,,1
128,18:52:23 11-02-2016,19:01:36 11-02-2016,Hygiene,Bath,,1
129,18:40:17 11-06-2016,18:47:51 11-06-2016,Hygiene,Bath,,1
130,18:47:58 11-09-2016,18:58:12 11-09-2016,Hygiene,Bath,,1
131,16:45:48 11-11-2016,17:20:49 11-11-2016,Mood,Crying,Overtired and very upset. Wouldn't go down for nap. Tried for one hour.,1
132,15:35:32 11-13-2016,15:55:42 11-13-2016,Mood,Quiet,Almost had a nap. Went to put her down at 3:35. Didn't resist much and was a little drowsy in arms. When I put her in crib she was wide awake but quiet. Eventually spit out her soother and found her thumb. But after a few minutes she didn't fall asleep. Still not not noisy but obviously not tired.,1
133,18:39:36 11-13-2016,18:46:59 11-13-2016,Hygiene,Bath,,1
134,18:22:25 11-16-2016,18:33:58 11-16-2016,Hygiene,Bath,,1
135,16:50:06 11-19-2016,17:07:06 11-19-2016,Mood,Crying,Dad. Tried to get her to nap. Protested hard. Almost fell asleep in crib. Tried swing. No luck.,1
136,12:30:29 11-20-2016,12:57:30 11-20-2016,Mood,Crying,Dad epic nap fail. Tried to put her down awake. sat in the corner whoke she fell asleep. Almost fell asleep twice. Was making noises and chewing on blanket. After 15 minutes started to cry. Picked her up. Did three PUPDs with soother and screaming baby. Every time she calmed down she would freak out when put in the crib.,1
137,15:30:34 11-20-2016,15:50:34 11-20-2016,Mood,Crying,Another Dad fail. No nap success. Crying early. Had to take her out of the bedroom to get her to calm down. Had her in the crib and quiet with a soother. She spit it out and found her thumb. Wasn't sleeping but calm  then Boo came in and started mewing. The end. Mom eventually took over.,1
138,17:50:55 11-20-2016,17:59:09 11-20-2016,Hygiene,Bath,,1
139,08:13:43 11-22-2016,08:13:43 11-22-2016,Hygiene,Clip Nails,,0
140,18:15:10 11-23-2016,18:25:28 11-23-2016,Hygiene,Bath,,1
141,18:19:50 11-27-2016,18:28:41 11-27-2016,Hygiene,Bath,,1
142,18:40:58 11-30-2016,18:52:21 11-30-2016,Hygiene,Bath,,1
143,19:40:50 12-02-2016,20:00:50 12-02-2016,Mood,Crying,Over tired and fighting it. Screaming and crying.,1
144,11:22:29 12-03-2016,12:05:29 12-03-2016,Health,Teething,Wouldn't sleep.chewed on my finger and cried whenever she was in the crib. Only thing that calmed her was staring out the window.,1
145,09:20:50 12-04-2016,09:50:50 12-04-2016,Mood,Crying,Refused to sleep,1
146,17:57:41 12-04-2016,18:08:52 12-04-2016,Hygiene,Bath,,1
147,07:35:44 12-09-2016,07:49:38 12-09-2016,Hygiene,Bath,,1
148,18:36:53 12-11-2016,18:45:31 12-11-2016,Hygiene,Bath,,1
150,15:10:08 12-12-2016,15:10:08 12-12-2016,Activity,Rolling Over,Front to back,0
149,14:25:52 12-14-2016,14:25:52 12-14-2016,Activity,Rolling Over,Back to front,0
151,18:45:34 12-14-2016,18:54:51 12-14-2016,Hygiene,Bath,,1
152,13:06:53 12-15-2016,13:06:53 12-15-2016,Activity,Rolling Over,Both ways a few times.,0
155,19:20:41 12-15-2016,19:20:41 12-15-2016,Health,Coughing,Occasional cough throughout the night,0
154,13:50:44 12-16-2016,13:50:44 12-16-2016,Health,Wheeze,,0
153,14:00:55 12-16-2016,14:00:55 12-16-2016,Mood,Crying,Total freak out on way home from Granville island. Even feeding her didn't help. Calmed once got home.,0
156,18:26:44 12-17-2016,18:36:33 12-17-2016,Hygiene,Bath,,1
157,08:48:19 12-18-2016,08:48:19 12-18-2016,Health,Cold,Congested and coughing,0
158,08:03:49 12-19-2016,08:03:49 12-19-2016,Health,Cold,A little worse than yesterday. Still only in chest.,0
159,08:04:14 12-20-2016,08:04:14 12-20-2016,Health,Cold,Still congested.,0
250,16:20:57 12-20-2016,16:20:57 12-20-2016,Health,Wheeze,Walk-in clinic doctor visited. Suggested asthma and gave prescription for Ventolin.,0
251,18:16:16 12-21-2016,18:27:44 12-21-2016,Hygiene,Bath,,1
252,11:20:49 12-22-2016,11:20:49 12-22-2016,Health,Wheeze,Doctor Lai says it is croup.,0
253,09:21:09 12-24-2016,09:21:09 12-24-2016,Health,Teething,,0
254,14:42:36 12-25-2016,14:55:58 12-25-2016,Hygiene,Bath,,1
255,18:30:03 12-28-2016,18:41:24 12-28-2016,Hygiene,Bath,,1
256,21:10:56 12-31-2016,21:40:56 12-31-2016,Mood,Crying,Wasn't happy to find mom and dad were gone. Cried for grandmas.,1
257,18:28:33 01-01-2017,18:39:05 01-01-2017,Hygiene,Bath,,1
258,18:26:00 01-04-2017,18:35:02 01-04-2017,Hygiene,Bath,,1
259,10:30:11 01-06-2017,11:00:11 01-06-2017,Activity,Swimming,,1
260,10:05:44 01-08-2017,10:09:44 01-08-2017,Mood,Crying,Fell of changing table. Daddy fail.,1
261,17:33:35 01-08-2017,17:47:34 01-08-2017,Hygiene,Bath,,1
262,18:28:21 01-11-2017,18:42:32 01-11-2017,Hygiene,Bath,,1
271,10:30:31 01-13-2017,11:00:31 01-13-2017,Activity,Swimming,,1
263,18:15:53 01-15-2017,18:24:58 01-15-2017,Hygiene,Bath,,1
270,10:30:51 01-20-2017,11:00:51 01-20-2017,Activity,Swimming,,1
264,22:00:45 01-20-2017,19:00:45 01-21-2017,Health,Stuffy Nose,,1
265,18:28:08 01-22-2017,18:28:08 01-22-2017,Health,Stuffy Nose,,0
266,18:28:18 01-22-2017,18:28:18 01-22-2017,Health,Teething,,0
267,18:44:15 01-22-2017,18:54:21 01-22-2017,Hygiene,Bath,,1
268,18:26:16 01-25-2017,18:35:59 01-25-2017,Hygiene,Bath,,1
269,10:30:22 01-27-2017,11:00:22 01-27-2017,Activity,Swimming,,1
272,10:55:48 01-29-2017,11:35:48 01-29-2017,Activity,Swimming,Family at Hillcrest,1
273,18:24:18 01-29-2017,18:38:22 01-29-2017,Hygiene,Bath,,1
274,15:50:35 01-31-2017,16:50:08 01-31-2017,Mood,Fussy,Wouldn't go down for her nap. Maybe pushing it too long? Started at 3:50  tried with 2 PUPDs until 4:30. Crying when re-enter room or put her in crib. Did some play time  fed her and then was able to get her to sleep.,1
275,22:55:08 01-31-2017,22:55:08 01-31-2017,Health,Stuffy Nose,Suctioned some snot out.,0
276,17:38:40 02-01-2017,17:50:40 02-01-2017,Hygiene,Bath,,1
277,16:00:58 02-02-2017,17:20:01 02-02-2017,Mood,Fussy,Tried to put her down at 4 after being awake for 2 hours  directly from ergo. Gave her 10 minutes  not falling asleep. Realized white noise wasn't on. Tried again but crying hard. Played for a bit. Crying before I even put her down. Fed her. Again crying before I put her down. Opened blinds and rocked a lot. ,1
278,05:30:08 02-03-2017,06:00:08 02-03-2017,Health,Coughing,Woke up coughing but managed to fall back asleep,1
300,10:30:24 02-03-2017,11:00:24 02-03-2017,Activity,Swimming,,1
279,16:10:26 02-03-2017,16:10:26 02-03-2017,Health,Coughing,Woke up coughing lots,0
280,10:41:38 02-05-2017,10:50:17 02-05-2017,Hygiene,Clip Nails,,1
281,18:20:19 02-05-2017,18:40:19 02-05-2017,Hygiene,Bath,,1
282,15:00:48 02-08-2017,15:00:48 02-15-2017,Diary,,In Mexico,1
283,13:14:49 02-16-2017,13:27:16 02-16-2017,Hygiene,Bath,,1
299,10:30:45 02-17-2017,11:00:45 02-17-2017,Activity,Swimming,,1
284,18:15:08 02-19-2017,18:27:51 02-19-2017,Hygiene,Bath,,1
285,14:00:30 02-21-2017,15:00:30 02-21-2017,Mood,Crying,,1
286,21:45:30 02-22-2017,22:10:30 02-22-2017,Mood,Clingy,Ok being held but cried everytime I tried to put her down. Arching her back and pulling on her left ear. Gassy.,1
287,06:30:44 02-23-2017,07:20:44 02-23-2017,Mood,Quiet,Rolled around in crib quietly,1
298,10:30:05 02-24-2017,11:00:05 02-24-2017,Activity,Swimming,,1
292,20:20:30 02-25-2017,21:30:30 02-25-2017,Mood,Crying,Cried hard every time we tried to put her down in the pack n play at Katie and Ilan's,1
290,21:17:29 02-26-2017,21:23:29 02-26-2017,Health,Gassy,,1
291,14:55:56 02-27-2017,15:08:02 02-27-2017,Hygiene,Bath,,1
293,18:35:30 03-01-2017,18:46:00 03-01-2017,Hygiene,Bath,,1
297,10:30:31 03-03-2017,11:00:31 03-03-2017,Activity,Swimming,,1
294,18:19:28 03-05-2017,18:31:31 03-05-2017,Hygiene,Bath,,1
295,18:32:12 03-08-2017,18:40:06 03-08-2017,Hygiene,Bath,,1
296,10:30:04 03-10-2017,11:00:04 03-10-2017,Activity,Swimming,,1
301,18:43:02 03-12-2017,18:58:39 03-12-2017,Hygiene,Bath,,1
302,18:36:44 03-15-2017,18:43:29 03-15-2017,Hygiene,Bath,,1
303,18:40:22 03-19-2017,18:40:22 03-19-2017,Health,Fever,Mild never  lethargic,0
304,18:46:56 03-19-2017,18:58:51 03-19-2017,Hygiene,Bath,,1
